anime_id,anime_video_url
2361,not available
1064,not available
1691,https://www.crunchyroll.com/kaze-no-stigma/episode-1-the-wind-returns-758393
10531,not available
30790,not available
167,https://www.crunchyroll.com/scrapped-princess/episode-1-overture-of-the-abandoned-cat-princess-743203
7045,not available
15793,https://www.crunchyroll.com/symphogear/episode-1-the-gungnir-girl-685227
3652,not available
1289,https://www.hulu.com/watch/736992
18497,not available
2768,not available
1356,not available
16762,not available
31418,not available
2227,not available
33082,not available
617,not available
2012,not available
7661,not available
1395,not available
6152,not available
11359,not available
25341,not available
67,https://www.crunchyroll.com/basilisk/episode-1-destiny-745325
1946,not available
880,not available
1840,https://view.yahoo.com/show/familiar-of-zero-knight-of-the-twin-moons/episode/60505022/sub-her-majesty-the-queen-s-zero
2202,not available
10716,not available
10573,not available
9751,not available
3199,not available
23321,https://www.crunchyroll.com/log-horizon/episode-1-shiroe-of-the-northern-lands-661779
6793,not available
3466,not available
1087,not available
5231,not available
914,not available
33209,not available
32827,not available
4416,not available
10495,https://www.crunchyroll.com/yuruyuri/episode-1-middle-school-debut-580684
24405,https://www.crunchyroll.com/world-trigger/episode-1-visitor-from-the-other-world-661417
22583,not available
969,not available
23701,not available
1557,not available
23775,not available
6773,not available
6634,https://www.crunchyroll.com/sengoku-basara-samurai-kings/episode-14-troubled-times-once-again-advent-of-the-great-cataclysmic-warlord-toyotomi-hideyoshi-756669
8675,not available
32542,https://www.crunchyroll.com/havent-you-heard-im-sakamoto/episode-1-class-1-2-sakamoto-kun-bee-quiet-702687
6172,not available
9136,not available
35658,not available
34984,not available
10568,not available
1567,not available
821,not available
24781,not available
32215,not available
26023,not available
1393,not available
7902,not available
35198,not available
455,not available
2673,not available
8331,not available
32365,not available
1488,not available
36800,https://www.crunchyroll.com/amanchu/episode-1-the-story-of-one-summer-night-and-a-confession-768883
857,not available
16005,https://www.crunchyroll.com/the-unlimited-hyobu-kyosuke/episode-1-paranormal-jailbreak-schooler-of-deadlock-617363
16241,https://www.crunchyroll.com/youre-being-summoned-azazel/episode-14-foolish-older-brother-wise-younger-brother-713397
11757,https://www.crunchyroll.com/sword-art-online/episode-1-the-world-of-swords-606739
32485,not available
1034,not available
22693,not available
15439,not available
5204,not available
428,not available
6553,not available
34281,not available
16528,not available
14131,https://www.crunchyroll.com/girls-und-panzer/episode-1-tankery-here-it-comes-612131
31706,https://www.crunchyroll.com/fatekaleid-liner-prisma-illya/episode-1-city-fading-to-silver-715497
3785,not available
31552,not available
874,https://www.crunchyroll.com/digimon-tamers/episode-1-guilmon-comes-alive-679977
5348,not available
1239,https://view.yahoo.com/show/sailor-moon/episode/60594466/sub-meeting-of-destiny-the-night-pegasus
34284,not available
1985,not available
11743,not available
2498,not available
355,not available
32836,not available
23277,https://www.crunchyroll.com/saekano-how-to-raise-a-boring-girlfriend-/episode-1-an-error-ridden-prologue-668049
528,not available
33338,not available
10500,not available
8190,not available
340,not available
3001,https://www.crunchyroll.com/moyashimon/episode-1-the-story-of-the-agricultural-university-microbes-609955
334,not available
15051,https://www.crunchyroll.com/love-live-school-idol-project/episode-1-may-our-dream-come-true-617025
5494,not available
449,not available
2174,not available
11617,not available
31997,not available
19191,not available
32071,not available
1251,not available
36480,not available
25687,not available
9839,not available
31821,https://www.crunchyroll.com/the-heroic-legend-of-arslan/episode-26-chapter-i-the-trnian-army-invades-718997
18753,not available
1924,not available
4654,https://www.crunchyroll.com/a-certain-magical-index/episode-1-academy-city-719257
885,not available
2562,not available
46,not available
10588,https://view.yahoo.com/show/persona-4/episode/40048910/sub-you-re-myself-i-m-yourself
36796,not available
26243,https://www.crunchyroll.com/seraph-of-the-end-vampire-reign/episode-1-the-world-of-blood-legacy-765485
36565,https://www.crunchyroll.com/major-2nd/episode-1-daigos-dream-768911
1579,https://www.crunchyroll.com/la-corda-doro-primo-passo-and-secondo-passo/episode-1-an-unbelievable-prelude-523846
11013,https://www.crunchyroll.com/inu-x-boku-secret-service/episode-1-dog-and-me-590038
10999,not available
2002,not available
587,https://www.crunchyroll.com/looking-up-at-the-half-moon/episode-1-akiko-the-girl-and-ryunosuke-akutagawa-720145
12049,not available
4182,not available
4835,not available
1240,not available
304,not available
177,not available
17437,not available
1861,not available
11371,https://www.crunchyroll.com/the-prince-of-tennis-ii/episode-1-night-before-the-invitation-680497
5493,not available
21667,not available
9396,not available
5162,not available
194,not available
5290,not available
145,not available
21743,https://www.crunchyroll.com/laughing-under-the-clouds/episode-1-three-brothers-standing-under-the-clouds-740789
1478,not available
18671,https://www.crunchyroll.com/love-chunibyo-other-delusions-heart-throb-/episode-1-evil-lord-shingan-reborn-648781
2548,not available
32977,not available
13709,not available
2424,not available
3369,not available
15775,not available
23301,not available
708,not available
2835,not available
3848,not available
10589,not available
34414,https://www.crunchyroll.com/nanbaka/episode-14-nanbaka-is-a-comedy-anime-728379
3626,not available
96,https://www.crunchyroll.com/mobile-fighter-g-gundam/episode-1-gundam-fight-begins-the-gundam-that-fell-to-earth-731445
2848,not available
8217,not available
33654,not available
270,https://www.crunchyroll.com/hellsing/episode-1-the-undead-735191
13115,https://www.crunchyroll.com/hakuoki-reimeiroku/episode-1-dawn-of-the-divine-warriors-606899
11663,not available
37150,not available
2961,not available
2514,not available
2171,not available
34618,https://www.crunchyroll.com/blend-s/episode-1-first-time-super-sadist-749755
14669,not available
12291,https://view.yahoo.com/show/place-to-place/episode/60308257/sub-here-there
2198,not available
10216,https://www.crunchyroll.com/youre-being-summoned-azazel/episode-1-enter-the-demon-detective-the-demon-and-the-part-time-worker-713371
30458,not available
2268,not available
2555,not available
13245,not available
23135,not available
14123,not available
2549,not available
5419,not available
1029,not available
3673,not available
7877,not available
16934,not available
2800,not available
18499,not available
8995,not available
441,not available
10469,not available
16287,not available
7651,not available
2743,not available
32900,not available
36522,not available
15437,not available
8841,https://www.crunchyroll.com/is-this-a-zombie/episode-1-yes-im-a-magical-garment-girl-726957
32953,not available
31798,https://www.crunchyroll.com/kiznaiver/episode-1-702765
218,https://www.crunchyroll.com/martian-successor-nadesico/episode-1-to-go-like-a-man-755617
4039,not available
2409,https://www.crunchyroll.com/gokudo/episode-1-suddenly-im-a-girl-763853
21273,https://www.crunchyroll.com/is-the-order-a-rabbit/episode-1-i-knew-at-first-glance-that-it-was-no-ordinary-fluffball-653243
27411,not available
364,not available
35823,not available
4981,https://www.crunchyroll.com/casshern-sins/episode-1-at-the-end-of-the-world-739609
14967,https://www.crunchyroll.com/haganai/episode-1-yeah-my-youth-is-seriously-wrong-758543
35459,not available
10067,not available
16273,not available
1003,not available
34374,not available
10714,not available
5306,not available
16524,https://www.crunchyroll.com/gargantia-on-the-verdurous-planet/episode-1-castaway-622613
8197,not available
6802,https://www.crunchyroll.com/sound-of-the-sky/episode-1-the-sound-that-fills-the-air-the-city-of-dawn-538472
1608,not available
9979,not available
33091,not available
522,not available
17947,not available
4188,not available
1563,not available
33106,not available
32949,not available
35079,https://www.crunchyroll.com/kinos-journey-the-beautiful-world-the-animated-series/episode-1-a-country-where-people-can-kill-others-749557
33899,not available
36823,not available
33302,not available
691,not available
1372,not available
7858,not available
1913,not available
2098,not available
3420,not available
7041,not available
18523,https://www.crunchyroll.com/senyu/episode-14-the-hero-broods-627987
166,https://www.crunchyroll.com/samurai-7/episode-1-the-master-762455
34549,https://www.crunchyroll.com/the-dragon-dentist/episode-1-tengumushi-730923
34514,not available
10020,not available
5713,not available
37175,not available
15813,not available
2458,not available
1095,not available
3449,not available
34933,not available
3165,https://www.hulu.com/watch/466640
17187,not available
33731,https://www.crunchyroll.com/gabriel-dropout/episode-1-the-day-i-knew-i-could-never-go-back-727485
37033,https://www.crunchyroll.com/todays-menu-for-the-emiya-family/episode-1-toshikoshi-soba-761413
14837,not available
34299,not available
34349,not available
6573,https://www.crunchyroll.com/darker-than-black/episode-27-black-cats-do-not-dream-of-stars-761721
33929,not available
32828,https://www.crunchyroll.com/sweetness-lightning/episode-1-uniforms-and-pot-rice-715817
24627,not available
1651,not available
567,not available
814,not available
5118,https://www.crunchyroll.com/the-melancholy-of-haruhi-chan-suzumiya-nyoron-churuya-san/episode-1-540502
5958,not available
8317,not available
1873,not available
34318,not available
8100,not available
2971,not available
33034,not available
28607,https://www.crunchyroll.com/hetalia/episode-121-the-world-twinkle-episode-1-766561
21075,not available
36094,not available
18507,https://www.crunchyroll.com/free-iwatobi-swim-club/episode-1-reunion-at-the-starting-block-627937
5291,not available
2037,not available
379,https://www.crunchyroll.com/excel-saga/episode-1-koshi-ridko-assassination-plot-756031
19195,not available
1747,not available
901,not available
2392,not available
6231,not available
1479,not available
1474,not available
1686,not available
24919,not available
102,not available
3712,https://view.yahoo.com/show/familiar-of-zero-rondo-of-princesses/episode/60530334/sub-the-familiar-s-mark
2203,not available
3613,https://www.crunchyroll.com/library-war/episode-1-my-prince-is-in-the-library-force-713475
200,not available
10731,not available
14189,not available
2923,https://www.crunchyroll.com/shugo-chara/episode-1-a-guardian-character-is-born-509988
30736,not available
34300,not available
10257,not available
13587,not available
22539,not available
1047,not available
353,not available
593,not available
6604,not available
3392,not available
9366,not available
33733,not available
35889,https://www.crunchyroll.com/hakata-tonkotsu-ramens/episode-1-play-ball-759983
4060,not available
3213,not available
1394,not available
8687,not available
9786,not available
8888,not available
27601,not available
31553,not available
1050,not available
2889,not available
586,not available
11235,https://www.hulu.com/watch/573121
481,https://www.crunchyroll.com/yu-gi-oh/episode-1-the-fearsome-blue-eyes-white-dragon-682857
6922,not available
1368,not available
24655,not available
13349,https://www.crunchyroll.com/utakoi/episode-1-takaiko-and-narihira-yukihira-and-hiroko-603793
59,not available
11759,https://view.yahoo.com/show/accel-world/episode/60058149/sub-acceleration
29,not available
1195,https://view.yahoo.com/show/the-familiar-of-zero/episode/60351977/sub-zero-louise
24365,not available
9047,not available
11889,not available
1072,not available
1642,not available
879,not available
34547,not available
2596,not available
23281,https://www.crunchyroll.com/psycho-pass/episode-23-the-scales-of-justice-299300-725865
34136,not available
36043,not available
12053,not available
5710,not available
1878,not available
22763,not available
12679,not available
35413,https://www.crunchyroll.com/a-sisters-all-you-need/episode-1-i-only-need-a-little-brother-who-can-cook-a-beautiful-naked-girl-and-friends-i-can-relate-to-749927
1773,not available
10765,not available
35082,not available
6895,https://view.yahoo.com/show/hakuoki-demon-of-the-fleeting-blossom/episode/60240964/sub-capital-of-snowflakes
852,not available
12187,not available
1681,not available
6408,not available
33094,https://www.crunchyroll.com/wwwwagnaria/episode-1-part-time-jobs-can-change-lives-721191
1459,not available
2337,not available
5712,not available
15731,not available
5262,https://www.crunchyroll.com/shugo-chara/episode-52-sparkle-with-all-your-might-523742
5854,not available
32026,not available
6187,not available
32566,not available
20541,https://www.crunchyroll.com/engaged-to-the-unidentified/episode-1-its-important-to-start-off-on-the-right-foot-648831
98,not available
32526,https://www.crunchyroll.com/love-live-sunshine/episode-1-i-want-to-shine-715805
17641,not available
4037,not available
4186,not available
1069,not available
11633,https://view.yahoo.com/show/blood-lad/episode/60237356/sub-she-s-a-skeleton-now
8676,not available
5075,not available
156,not available
1919,not available
11553,not available
1911,not available
696,https://www.crunchyroll.com/tenchi-muyo-tenchi-universe/episode-1-no-need-for-discussions-757497
25,https://www.crunchyroll.com/desert-punk/episode-1-the-demon-and-the-double-ds-757379
13391,not available
327,not available
2680,not available
24227,not available
1241,not available
35828,https://www.crunchyroll.com/how-to-keep-a-mummy/episode-1-white-round-tiny-wimpy-and-ready-759657
435,https://www.hulu.com/watch/632947
207,not available
10209,https://www.crunchyroll.com/is-this-a-zombie/episode-13-yes-this-is-a-1-miracle-727099
142,not available
2330,not available
5228,not available
5998,not available
36884,not available
33280,not available
18465,https://www.crunchyroll.com/genshiken-second-season/episode-1-the-other-side-of-the-path-the-promised-place-637185
356,https://view.yahoo.com/show/fate-stay-night/episode/60286250/sub-the-day-it-began
1477,not available
28771,not available
28285,not available
3974,not available
5538,not available
5277,not available
131,not available
28497,https://www.crunchyroll.com/rokka-braves-of-the-six-flowers-/episode-1-the-strongest-man-in-the-world-682217
490,not available
1212,not available
8246,not available
10075,not available
9181,https://view.yahoo.com/show/motto-to-loveru/episode/60141628/sub-once-again-from-here-bathroom-war
9834,https://www.crunchyroll.com/level-e/episode-1-an-alien-on-the-planet-568484
9023,not available
3674,not available
792,not available
10445,not available
10178,not available
1060,not available
5252,not available
31414,not available
28149,not available
31,not available
1424,not available
389,not available
33241,not available
35376,not available
36686,not available
31158,not available
31433,https://www.crunchyroll.com/legend-of-the-galactic-heroes-die-neue-these/episode-1-in-the-eternal-night-768377
23311,https://www.crunchyroll.com/garo-the-animation/episode-1-hell-fire-744479
906,not available
10703,not available
13837,not available
17121,not available
22839,not available
5244,not available
